Stock,Jesse_Score,Rank,Predicted_Change_Percent
CVGI,0.8924,869,2.4
NMFCZ,0.8921,870,0.03
COOTW,0.8917,871,5.35
AREBW,0.8916,872,4.89
DXST,0.8915,873,2.0
PRQR,0.8915,874,-3.13
BSLKW,0.8913,875,-4.26
LCCCU,0.8912,876,-0.23
IONX,0.8911,877,5.89
EWBC,0.891,878,4.45
WKSP,0.891,879,3.35
COCO,0.8907,880,4.82
FNWD,0.8906,881,9.87
GLMD,0.8904,882,12.65
CDTG,0.8901,883,5.92
EEFT,0.89,884,2.85
MAAS,0.89,885,-3.83
BAND,0.8899,886,7.07
BLIN,0.8899,887,4.76
DSP,0.8898,888,-1.77
KRMA,0.8897,889,4.8
TECX,0.8896,890,-2.91
BNGO,0.8895,891,4.05
ICMB,0.8891,892,-0.42
BPRN,0.8888,893,10.78
PEBO,0.8888,894,3.34
STFS,0.8888,895,-0.06
HFWA,0.8886,896,2.22
NTIC,0.8886,897,-0.63
FNWB,0.8885,898,6.46
STKH,0.8884,899,-0.93
RILYK,0.8883,900,10.93
RCAT,0.8882,901,-1.82
NXST,0.888,902,5.98
VRNT,0.888,903,2.38
HYFM,0.8878,904,11.98
PSMT,0.8878,905,4.95
GENVR,0.8877,906,10.53
TEAM,0.8876,907,13.01
GV,0.8874,908,-0.26
FSFG,0.8873,909,11.37
NCPL,0.8873,910,-2.82
SPFI,0.8873,911,5.34
MSBIP,0.8869,912,-1.84
GAINN,0.8868,913,12.29
SGMT,0.8867,914,7.5
SINT,0.8866,915,-3.34
PMTS,0.8862,916,0.44
AAME,0.8859,917,11.2
GFAI,0.8859,918,5.87
PARAA,0.8859,919,3.61
CAPN,0.8857,920,13.58
LSAK,0.8857,921,4.25
CNCKW,0.8855,922,2.39
HURA,0.8853,923,-4.84
VMAR,0.8853,924,-2.81
ACDC,0.8852,925,8.73
RILYG,0.885,926,1.33
SCKT,0.8849,927,5.67
TFIN,0.8847,928,-4.06
FAST,0.8846,929,5.43
QXQ,0.8846,930,3.47
IOSP,0.8843,931,11.44
UBCP,0.8843,932,6.23
YHGJ,0.8843,933,0.99
BSMW,0.8841,934,3.78
CGO,0.8841,935,-4.04
MSS,0.884,936,3.81
KVACW,0.8839,937,12.5
LANDP,0.8839,938,10.6
COWS,0.8838,939,14.19
SGA,0.8835,940,-1.02
MYCH,0.8831,941,10.36
IEF,0.883,942,-0.61
ICFI,0.8825,943,4.67
PSCC,0.8825,944,12.02
SCHL,0.8822,945,9.2
WLACW,0.8822,946,4.92
XT,0.8822,947,11.11
BUJAU,0.8821,948,-0.09
CELH,0.8821,949,8.12
SURG,0.8815,950,10.06
HEPA,0.8813,951,14.92
VKTX,0.8813,952,13.4
BTOG,0.8812,953,13.11
CHSN,0.8812,954,9.13
DAVEW,0.8812,955,-0.88
NWE,0.8812,956,14.93
HRMY,0.8809,957,-2.98
AIRT,0.8807,958,8.9
FSZ,0.8807,959,4.93
PDSB,0.8807,960,0.78
TDACU,0.8806,961,12.73
ENTG,0.8805,962,8.0
OPXS,0.8805,963,4.92
USRD,0.8804,964,8.33
YB,0.8802,965,1.73
AIMD,0.8799,966,6.16
RXT,0.8798,967,5.37
LGND,0.8796,968,1.15
PULM,0.879,969,-4.39
VIGI,0.879,970,2.03
MGRX,0.8789,971,0.01
LPTH,0.8788,972,-1.19
RDVY,0.8787,973,12.59
AMID,0.8786,974,1.84
COO,0.8786,975,8.45
ICAD,0.8786,976,0.38
HLVX,0.8785,977,-3.53
WLDN,0.8784,978,1.84
LBRDP,0.8783,979,-2.88
NVCT,0.8783,980,2.16
DIOD,0.8782,981,4.38
PRDO,0.878,982,12.04
SOND,0.8777,983,12.62
QCML,0.8776,984,12.2
WVVIP,0.8776,985,2.25
HERD,0.877,986,-3.72
MRNO,0.877,987,2.73
SEIC,0.8769,988,8.61
BOLT,0.8766,989,3.52
BWB,0.8763,990,-3.4
CPBI,0.8763,991,-1.94
LARK,0.8763,992,5.25
SDST,0.8763,993,9.0
DHCNI,0.876,994,2.27
TRIN,0.8759,995,8.46
GHRS,0.8756,996,12.65
SVIIR,0.8754,997,13.63
AMGN,0.8752,998,12.05
DCGO,0.8746,999,9.18
IBTO,0.8742,1000,-2.6
OCUL,0.8742,1001,14.81
OZK,0.8741,1002,7.12
DADA,0.874,1003,-0.5
FLXS,0.8739,1004,6.47
XLO,0.8739,1005,10.29
AMUU,0.8738,1006,2.81
BL,0.8738,1007,2.28
MTLS,0.8738,1008,8.1
SKYQ,0.8737,1009,-4.53
FCEF,0.8734,1010,12.7
VXUS,0.8731,1011,-4.3
COCP,0.873,1012,4.62
BELFA,0.8729,1013,12.13
CRSR,0.8726,1014,10.8
AAVM,0.8725,1015,-1.42
DXJS,0.8725,1016,-3.57
CTXR,0.8724,1017,9.85
EDAP,0.8723,1018,8.05
AMWD,0.872,1019,5.39
SAFT,0.8716,1020,13.11
JFBR,0.8715,1021,14.29
SGMO,0.8715,1022,8.21
BEAG,0.8714,1023,-4.88
IAC,0.8714,1024,8.25
FGMCU,0.8713,1025,-4.69
ACT,0.8712,1026,0.18
AMPG,0.8712,1027,6.36
NEXN,0.8712,1028,12.65
ATER,0.8711,1029,9.7
RMBI,0.8711,1030,7.32
CREVW,0.871,1031,-2.86
SRCE,0.871,1032,9.49
BWAY,0.8709,1033,7.97
GCMGW,0.8709,1034,1.29
RELL,0.8706,1035,13.39
SBLK,0.8706,1036,4.8
SLQD,0.8705,1037,-4.19
LIDR,0.8704,1038,-1.75
ADTX,0.8703,1039,8.45
BDGS,0.8703,1040,-4.35
FCBC,0.8701,1041,0.5
PDYN,0.8701,1042,-1.86
HOWL,0.8699,1043,1.49
IVCAU,0.8698,1044,11.35
NN,0.8695,1045,3.65
CDL,0.8694,1046,4.73
IMG,0.8693,1047,4.24
ONDS,0.8693,1048,4.99
USARW,0.8693,1049,9.74
WORX,0.8692,1050,-3.97
HDL,0.8691,1051,-0.18
SYT,0.8691,1052,10.19
GRYP,0.869,1053,6.24
VS,0.869,1054,13.22
ARWR,0.8689,1055,-3.3
ONFOW,0.8689,1056,5.66
IVAL,0.8687,1057,5.22
FTXO,0.8686,1058,-1.99
MKDWW,0.8684,1059,5.9
MPB,0.8684,1060,6.13
HWAY,0.8682,1061,12.73
FDIF,0.8679,1062,11.5
RDCM,0.8679,1063,2.72
UPLD,0.8679,1064,0.91
WRD,0.8679,1065,2.98
WABC,0.8677,1066,6.54
RDI,0.8676,1067,1.09
PCRX,0.8674,1068,2.38
HOND,0.8672,1069,4.96
ANY,0.8667,1070,13.14
FVC,0.8667,1071,13.44
NMTC,0.8667,1072,-0.21
WDFC,0.8666,1073,3.22
GMAB,0.8665,1074,9.78
NVDS,0.8665,1075,8.06
CECO,0.8663,1076,9.3
LXRX,0.8663,1077,1.69
ONC,0.8663,1078,2.5
TEM,0.8662,1079,13.15
EYE,0.866,1080,11.71
FKWL,0.866,1081,1.15
IGIB,0.8659,1082,7.05
ACIU,0.8658,1083,9.03
CTNT,0.8656,1084,12.9
HOUR,0.8656,1085,-2.01
JPEF,0.8656,1086,11.66
DRIV,0.8654,1087,12.05
ETHA,0.8652,1088,6.51
ZTRE,0.8652,1089,-2.38
GABC,0.8651,1090,13.32
LCFYW,0.8651,1091,11.64
TSDD,0.8651,1092,-1.87
GNOM,0.8647,1093,9.79
CRGO,0.8646,1094,0.84
SGBX,0.8646,1095,-2.63
WSBF,0.8646,1096,8.52
COLL,0.8645,1097,-1.42
TARA,0.8645,1098,5.33
SNDX,0.8644,1099,8.55
BSMR,0.8642,1100,3.23
FEAT,0.8642,1101,5.95
DALI,0.8638,1102,8.65
MAMA,0.8638,1103,12.09
VEON,0.8638,1104,6.4
PATK,0.8636,1105,3.9
KEQU,0.8634,1106,2.24
RADX,0.8634,1107,7.83
SEIE,0.8634,1108,7.12
FULTP,0.8633,1109,1.46
AACBU,0.8632,1110,2.02
AFRIW,0.863,1111,10.05
VCTR,0.863,1112,-3.24
AIMDW,0.8628,1113,0.55
DVOL,0.8628,1114,10.81
IPAR,0.8628,1115,13.52
PRAX,0.8626,1116,6.85
BTSGU,0.8625,1117,0.15
QQQM,0.8624,1118,0.63
FRSH,0.8622,1119,8.4
NIXT,0.8621,1120,2.33
QYLG,0.8621,1121,12.36
RGS,0.862,1122,5.99
EKSO,0.8619,1123,1.68
FRST,0.8619,1124,0.86
OB,0.8618,1125,11.94
SOHON,0.8615,1126,-0.85
ARQT,0.8614,1127,12.82
NAVI,0.8614,1128,-0.39
ASPCR,0.8612,1129,6.79
PAL,0.8612,1130,4.58
NERD,0.8611,1131,1.41
EKG,0.861,1132,13.46
SLXNW,0.8609,1133,-1.36
NAUT,0.8608,1134,2.57
OPAL,0.8606,1135,-3.04
MRM,0.8604,1136,-4.69
PBHC,0.8604,1137,13.68
TAOP,0.8604,1138,-2.71
GO,0.8603,1139,5.49
PQAP,0.8601,1140,-1.72
SRRK,0.86,1141,6.69
MRX,0.8598,1142,7.49
SBFG,0.8596,1143,8.33
XOVR,0.8596,1144,-0.42
FBZ,0.8594,1145,11.1
SILC,0.8594,1146,-2.21
WSC,0.8589,1147,4.89
GWRS,0.8588,1148,2.09
PAA,0.8587,1149,5.53
PRTC,0.8582,1150,8.46
CUBA,0.8581,1151,5.89
HLMN,0.8581,1152,14.3
MBINN,0.858,1153,0.65
BBLG,0.8579,1154,12.43
ZJZZT,0.8579,1155,10.81
DGXX,0.8577,1156,5.45
ABPWW,0.8575,1157,14.83
KGEI,0.8575,1158,0.74
NDAQ,0.8575,1159,9.48
BRKR,0.8572,1160,2.78
PLCE,0.8572,1161,10.15
SCZ,0.8571,1162,8.24
CCAP,0.8569,1163,1.56
MAMO,0.8566,1164,-2.97
FITBO,0.8561,1165,11.54
PTLE,0.8561,1166,0.4
HSAI,0.8553,1167,11.21
CSAI,0.8552,1168,-3.95
IPX,0.8552,1169,-2.78
RAA,0.8552,1170,-2.37
BNTC,0.8548,1171,-4.79
RBCAA,0.8548,1172,11.3
SMCI,0.8548,1173,-0.81
YGMZ,0.8548,1174,0.96
ATMC,0.8546,1175,-2.09
ANIK,0.8544,1176,3.61
FDUS,0.8543,1177,-4.93
PGYWW,0.8542,1178,1.88
CRNT,0.854,1179,-3.73
AVL,0.8539,1180,-4.7
DFGP,0.8537,1181,10.36
PDP,0.8534,1182,9.53
MFH,0.8531,1183,2.59
MXL,0.8531,1184,14.54
ADSK,0.853,1185,6.21
EXAS,0.8528,1186,14.09
EZPW,0.8528,1187,-0.94
QQJG,0.8527,1188,8.43
USFI,0.8527,1189,8.12
YORW,0.8527,1190,-1.27
AGIO,0.8526,1191,-3.81
PKW,0.8526,1192,6.62
SQFT,0.8525,1193,7.83
SFHG,0.8523,1194,12.45
DOCU,0.852,1195,12.22
CSPI,0.8518,1196,-2.8
CMMB,0.8516,1197,14.16
ORGN,0.8514,1198,6.79
APVO,0.8512,1199,1.42
LVROW,0.8511,1200,-4.92
BCAX,0.8505,1201,-0.45
IRON,0.8502,1202,-0.39
BULLW,0.8498,1203,3.3
ABAT,0.8496,1204,4.93
OTTR,0.8495,1205,4.4
WATT,0.8494,1206,0.92
BSII,0.8492,1207,2.84
ENGNW,0.8491,1208,-4.77
BUFM,0.849,1209,4.7
ETNB,0.849,1210,-3.85
ZENA,0.849,1211,3.55
UVSP,0.8488,1212,-0.96
ABUS,0.8487,1213,8.02
MSPR,0.8483,1214,9.09
PFXNZ,0.8483,1215,6.21
AIXI,0.848,1216,10.47
ASPCU,0.8478,1217,1.31
SDHIU,0.8478,1218,9.11
QTR,0.8477,1219,-1.19
BCDA,0.8476,1220,6.18
MACIW,0.8473,1221,5.99
FITBI,0.847,1222,3.84
SVRE,0.8469,1223,8.23
VRTX,0.8469,1224,-3.01
BRKL,0.8467,1225,12.3
RGEN,0.8467,1226,8.06
BOEU,0.8465,1227,11.66
JCSE,0.8465,1228,-0.92
CHI,0.8463,1229,-2.49
IFRX,0.8463,1230,-0.76
UNIY,0.8463,1231,9.95
JOYY,0.8462,1232,3.64
ALAR,0.8461,1233,-0.52
ARBB,0.8459,1234,1.93
IDAI,0.8459,1235,11.41
RAPT,0.8458,1236,8.89
METCZ,0.8456,1237,-3.59
AREC,0.8455,1238,11.29
VRDN,0.8454,1239,0.5
BYSI,0.8453,1240,7.27
ATMCR,0.8452,1241,12.55
SOUNW,0.8452,1242,6.49
VGSH,0.8452,1243,12.93
FVNNR,0.845,1244,-3.91
ABL,0.8449,1245,7.47
NNOX,0.8449,1246,12.8
PTC,0.8448,1247,6.12
VERB,0.8448,1248,6.02
SYRE,0.8447,1249,4.17
TLX,0.8446,1250,10.72
FUNC,0.8444,1251,0.43
LOKVW,0.8444,1252,5.03
VBNK,0.8444,1253,13.3
ALKT,0.8443,1254,-2.7
PIZ,0.8443,1255,10.39
RCMT,0.8442,1256,9.0
IBTI,0.8439,1257,10.33
CCSB,0.8438,1258,10.14
BMDL,0.8437,1259,1.47
SWAGW,0.8437,1260,-0.71
ANGO,0.8435,1261,4.28
FGBIP,0.8435,1262,0.33
NWPX,0.8433,1263,9.25
ASLE,0.8432,1264,5.54
NVCR,0.843,1265,5.99
BRLSW,0.8429,1266,14.8
ZAPPW,0.8426,1267,-2.19
AZTA,0.8422,1268,-0.12
HBIO,0.8422,1269,11.71
AISPW,0.8421,1270,-0.06
CLBK,0.8421,1271,11.08
CMCO,0.8419,1272,5.67
XBPEW,0.8419,1273,7.91
TAXE,0.8418,1274,12.3
JAGX,0.8417,1275,12.09
MU,0.8417,1276,5.86
OTRK,0.8416,1277,4.52
ROOT,0.8415,1278,3.94
GTX,0.8414,1279,14.29
CRCT,0.8413,1280,11.52
QAT,0.8413,1281,0.61
LI,0.8411,1282,6.11
ASTE,0.841,1283,2.66
JGLO,0.8409,1284,2.58
QQQX,0.8409,1285,4.75
ECDA,0.8406,1286,-4.37
MDXH,0.8402,1287,8.56
BENF,0.8399,1288,10.78
HIT,0.8399,1289,-4.99
AUROW,0.8398,1290,13.31
NESRW,0.8394,1291,7.89
CHCI,0.8389,1292,7.99
CCIXU,0.8388,1293,1.49
VCICW,0.8387,1294,14.2
PLSE,0.8386,1295,-1.85
HTCO,0.8385,1296,13.53
LANDO,0.8385,1297,3.65
AIRG,0.8383,1298,11.0
BATRA,0.838,1299,-1.98
BELFB,0.8379,1300,-1.72
GGROW,0.8378,1301,11.25
IMNN,0.8378,1302,-3.47
WGMI,0.8377,1303,-4.13
AAOI,0.8376,1304,5.42
NRIX,0.837,1305,5.3
MITK,0.8368,1306,-3.3
AMDG,0.8366,1307,0.35
METD,0.8362,1308,-2.07
DRVN,0.8361,1309,11.31
HOFV,0.8359,1310,5.41
NEWTI,0.8358,1311,-4.9
RMBS,0.8357,1312,4.93
RNEW,0.8355,1313,-1.45
OXBRW,0.8354,1314,14.85
FDIV,0.8353,1315,-2.66
IBIO,0.8352,1316,-1.93
ASTH,0.8351,1317,6.18
HUBCZ,0.835,1318,11.87
QRHC,0.8349,1319,13.63
RILY,0.8344,1320,8.98
SAVA,0.8343,1321,8.78
GLUE,0.8341,1322,12.37
NESR,0.834,1323,-0.38
CEFA,0.8337,1324,8.49
LPSN,0.8337,1325,-1.19
NHPBP,0.8336,1326,0.81
ORRF,0.8334,1327,12.22
RMSG,0.8332,1328,1.19
EMCGU,0.833,1329,3.31
SELF,0.833,1330,8.67
SLDPW,0.8328,1331,1.8
PLMKW,0.8326,1332,4.79
HOOX,0.8325,1333,12.89
VTGN,0.8325,1334,8.34
CLLS,0.8324,1335,14.08
MBB,0.8322,1336,12.36
SRDX,0.8322,1337,-0.64
INKT,0.8321,1338,-1.26
ENSC,0.832,1339,-1.83
AURA,0.8315,1340,9.17
SHLS,0.8315,1341,2.54
VYMI,0.8313,1342,7.28
WFRD,0.8311,1343,0.51
PLAB,0.8309,1344,-2.58
ZAZZT,0.8308,1345,4.28
REVB,0.8306,1346,2.17
AGNCN,0.8299,1347,14.65
OKTA,0.8298,1348,6.43
POET,0.8297,1349,1.66
MHUA,0.8295,1350,-3.93
RRBI,0.8294,1351,14.75
KMTS,0.8293,1352,0.76
SAMG,0.8293,1353,11.42
NCI,0.8292,1354,1.13
FFAIW,0.8291,1355,7.86
CFFN,0.829,1356,4.78
VTWV,0.829,1357,-2.46
GNLX,0.8289,1358,0.1
HPKEW,0.8288,1359,-2.05
BNRG,0.8287,1360,5.57
CELUW,0.8287,1361,-4.77
AKAM,0.8286,1362,13.93
HYMCL,0.8285,1363,7.6
FRPH,0.8284,1364,2.66
OXLC,0.8284,1365,5.32
EURKU,0.8283,1366,9.2
HST,0.8282,1367,10.14
AVUQ,0.828,1368,13.84
CAPR,0.828,1369,1.99
HEPS,0.828,1370,9.57
BRTX,0.8279,1371,4.82
CNSP,0.8278,1372,-2.25
CPSS,0.8278,1373,-0.94
FTXR,0.8277,1374,0.75
QVCGB,0.8276,1375,-3.95
LENZ,0.8274,1376,11.81
FMSTW,0.8273,1377,11.58
HBANL,0.8273,1378,3.36
IMCC,0.8273,1379,2.83
AFBI,0.8271,1380,8.65
HERO,0.8271,1381,12.14
ESEA,0.8269,1382,7.69
ELBM,0.8265,1383,-2.67
CLNE,0.826,1384,1.52
TBCH,0.8258,1385,8.54
WETO,0.8258,1386,4.01
TNMG,0.8257,1387,-3.13
MCTR,0.8253,1388,12.54
CARY,0.8252,1389,14.5
SGML,0.8252,1390,14.05
CZNC,0.8249,1391,3.11
SWKHL,0.8248,1392,4.5
ANAB,0.8247,1393,1.09
EDIT,0.8247,1394,2.11
PFAI,0.8245,1395,0.76
AVPT,0.8244,1396,-4.21
REE,0.8244,1397,10.2
ADVM,0.824,1398,-3.03
STRRP,0.8239,1399,0.54
TNONW,0.8239,1400,14.38
CNTB,0.8237,1401,5.03
FSV,0.8235,1402,7.62
ZUMZ,0.8234,1403,3.85
HVIIU,0.8232,1404,5.75
PLTD,0.8232,1405,-3.09
ELAB,0.8231,1406,9.03
AMED,0.823,1407,14.47
TORO,0.823,1408,10.15
ARVR,0.8229,1409,1.39
ALZN,0.8228,1410,-2.96
KZIA,0.8228,1411,13.07
CERO,0.8226,1412,12.46
RMSGW,0.8226,1413,5.22
GIGM,0.8225,1414,9.83
PRTS,0.8225,1415,13.57
RVSNW,0.8222,1416,8.65
XFOR,0.8222,1417,13.62
ATOS,0.822,1418,-1.99
DYCQ,0.822,1419,14.13
NNAVW,0.822,1420,13.24
PSCE,0.822,1421,7.78
STX,0.8217,1422,-4.8
AGEN,0.8216,1423,-3.59
ALDF,0.8213,1424,3.72
IBACR,0.8213,1425,11.91
DXPE,0.8211,1426,3.49
DVLU,0.821,1427,-0.41
EVGN,0.8209,1428,-0.16
PCT,0.8206,1429,-0.31
ROAD,0.8204,1430,13.85
BAER,0.8203,1431,9.6
DAX,0.8203,1432,10.86
UITB,0.8203,1433,12.67
WWD,0.8202,1434,-4.78
DPRO,0.8201,1435,-0.11
QQQY,0.82,1436,12.73
LNW,0.8195,1437,6.82
CLPT,0.8193,1438,4.1
MNYWW,0.8192,1439,-2.78
TLSA,0.8191,1440,7.19
RCKT,0.819,1441,0.14
TECH,0.819,1442,1.21
MNPR,0.8189,1443,12.7
COIN,0.8187,1444,6.92
CENTA,0.8182,1445,1.97
BFRGW,0.8181,1446,13.43
ATMVU,0.818,1447,2.61
AMLX,0.8176,1448,6.51
BLDEW,0.8176,1449,1.47
ALNT,0.8173,1450,2.5
DRIO,0.8173,1451,-1.13
ETEC,0.8172,1452,4.73
PSCI,0.8171,1453,9.0
BBGI,0.8168,1454,2.17
ALMS,0.8167,1455,10.98
ZYME,0.8167,1456,8.01
ACONW,0.8165,1457,0.53
CLGN,0.8162,1458,10.05
ESHAR,0.8161,1459,13.0
IROH,0.8161,1460,-4.84
BROG,0.8159,1461,4.5
MCBS,0.8157,1462,-0.41
TVTX,0.8157,1463,-1.5
COOP,0.8156,1464,12.69
QETA,0.8153,1465,11.38
HIMZ,0.8152,1466,-0.45
SND,0.815,1467,4.29
GMM,0.8149,1468,-4.0
CPHC,0.8146,1469,12.69
GNMA,0.8143,1470,13.07
QBIG,0.8143,1471,8.83
PAVM,0.8142,1472,8.08
VSTM,0.8142,1473,13.32
NYMTL,0.8141,1474,9.51
BAOS,0.8139,1475,-1.05
IBOT,0.8139,1476,-0.93
SHYF,0.8138,1477,-0.15
LCNB,0.8132,1478,-2.07
SRM,0.8129,1479,1.79
CLOD,0.8128,1480,3.78
VCIC,0.8128,1481,5.35
SRET,0.8127,1482,-4.27
MUU,0.8122,1483,2.17
LDWY,0.8121,1484,2.92
VPLS,0.8121,1485,2.65
SONDW,0.812,1486,0.15
FELE,0.8119,1487,10.7
CGNX,0.8118,1488,0.19
RGLS,0.8118,1489,7.82
RIBBU,0.8116,1490,-2.9
CRAI,0.8115,1491,5.91
ARKO,0.8113,1492,14.36
FTEK,0.8113,1493,0.22
GOGO,0.811,1494,-0.28
OMCC,0.8108,1495,6.3
CMTL,0.8107,1496,13.35
ETON,0.8107,1497,10.77
CHW,0.8105,1498,2.65
CIFR,0.8104,1499,10.12
FEMY,0.8103,1500,6.85
TTSH,0.8103,1501,0.54
WRLD,0.8102,1502,0.41
RETO,0.8101,1503,5.5
MDAI,0.8098,1504,5.56
BLCR,0.8096,1505,4.31
HCAI,0.8096,1506,5.93
NIVFW,0.8096,1507,1.47
ASTC,0.8095,1508,-4.7
ASYS,0.8095,1509,11.35
RDIB,0.8095,1510,-2.29
DIBS,0.8094,1511,-0.63
VERX,0.8093,1512,6.51
CVAC,0.8092,1513,12.95
DVAL,0.809,1514,4.44
XXII,0.8087,1515,3.99
SOFI,0.8085,1516,9.38
TOWN,0.808,1517,6.87
TURB,0.8079,1518,5.38
HNST,0.8077,1519,8.58
CLRO,0.8073,1520,1.38
ELFY,0.8073,1521,-2.47
WASH,0.8073,1522,-3.88
HCTI,0.8072,1523,5.24
TAX,0.8071,1524,-0.84
FAASW,0.8069,1525,4.32
USIO,0.8068,1526,-3.09
CCSI,0.8066,1527,6.37
CNEY,0.8065,1528,10.56
QQQJ,0.8065,1529,-1.3
NERV,0.8064,1530,5.9
NVEE,0.8064,1531,-3.86
LBRDK,0.8062,1532,14.88
NSSC,0.8062,1533,-3.99
KC,0.8061,1534,1.95
NATH,0.8058,1535,-0.32
SONN,0.8058,1536,4.59
BNR,0.8057,1537,8.53
GBIO,0.8054,1538,0.46
SKRE,0.8054,1539,-4.26
IBTF,0.8047,1540,0.63
REGCP,0.8046,1541,4.16
TYRA,0.8045,1542,12.02
DATSW,0.804,1543,-0.09
ROE,0.8039,1544,-2.3
SNYR,0.8039,1545,10.76
JBSS,0.8038,1546,-2.42
REFI,0.8038,1547,9.28
HUBCW,0.8036,1548,9.26
AISP,0.8035,1549,-0.95
TROW,0.8033,1550,-4.44
XAGEW,0.8033,1551,4.8
BLFS,0.8031,1552,-3.31
DYN,0.8031,1553,-1.34
MDB,0.803,1554,0.7
FAD,0.8029,1555,11.78
FA,0.8026,1556,-2.6
NPFI,0.8025,1557,10.04
FATE,0.8024,1558,-3.34
MKAM,0.8023,1559,-1.79
JZ,0.8021,1560,7.6
HGBL,0.802,1561,-2.51
OVLY,0.802,1562,-1.15
PTMN,0.8019,1563,-0.34
CVRX,0.8017,1564,10.41
MGRC,0.8017,1565,-2.72
FAMI,0.8011,1566,6.18
YXT,0.801,1567,-0.96
DWUS,0.8009,1568,-1.72
IEUS,0.8008,1569,4.61
ELSE,0.8007,1570,10.86
PROK,0.8005,1571,8.17
SELX,0.8005,1572,2.51
SPHL,0.8005,1573,-2.08
CKPT,0.8004,1574,-0.8
ECOR,0.8002,1575,0.94
ENGS,0.8001,1576,6.16
NVNI,0.8001,1577,12.31
COCHW,0.8,1578,-3.27
HYMCW,0.7999,1579,-2.87
BBIO,0.7997,1580,14.39
VSDA,0.7996,1581,-1.18
FARM,0.7995,1582,11.88
IGIC,0.7995,1583,-3.68
MRAL,0.7992,1584,5.7
QVCGP,0.7992,1585,-2.34
BAYAR,0.7991,1586,-2.14
ADV,0.7988,1587,14.31
ODYS,0.7985,1588,12.88
EQIX,0.7982,1589,14.25
TSLS,0.7982,1590,-3.25
BNZI,0.798,1591,12.88
ASPS,0.7979,1592,-0.53
LTRYW,0.7979,1593,9.08
TACHU,0.7974,1594,2.33
XBIL,0.7974,1595,10.27
APLS,0.7973,1596,12.12
MACI,0.7972,1597,-3.31
PGY,0.7972,1598,-4.9
FORD,0.7971,1599,-1.66
GLBS,0.7971,1600,12.16
SLM,0.797,1601,7.59
XHLD,0.797,1602,12.04
EMB,0.7969,1603,1.44
LNKS,0.7969,1604,-2.45
PBPB,0.7969,1605,14.34
GRRRW,0.7968,1606,3.78
TMCI,0.7968,1607,-0.35
BMR,0.7966,1608,-4.26
MCSE,0.7965,1609,-3.75
SIEB,0.7963,1610,10.82
SOHO,0.7963,1611,4.01
OCCIN,0.7962,1612,0.32
UHGWW,0.7962,1613,8.24
ESMV,0.7961,1614,0.55
TIL,0.7961,1615,3.58
SJLD,0.796,1616,5.15
LGVN,0.7959,1617,14.1
LPAA,0.7956,1618,0.42
RVNL,0.7956,1619,4.34
ARAY,0.7955,1620,14.64
BENFW,0.7955,1621,-3.99
BIOA,0.7955,1622,-2.21
NTRSO,0.7953,1623,12.38
HWC,0.795,1624,-3.09
AIRJ,0.7947,1625,7.91
LSCC,0.7947,1626,8.37
INFR,0.7945,1627,-3.56
PROV,0.7945,1628,14.43
LFCR,0.7943,1629,-1.94
AGRI,0.7941,1630,-1.81
WSBC,0.7941,1631,-4.79
UBXG,0.7937,1632,6.48
CCSO,0.7934,1633,-1.36
WOOD,0.7934,1634,13.13
PYPG,0.7931,1635,3.58
IMOM,0.793,1636,1.73
IUSG,0.793,1637,-1.85
IZM,0.793,1638,-1.25
UCAR,0.793,1639,-2.93
MASK,0.7929,1640,-1.59
IPHA,0.7925,1641,-1.85
IMUX,0.7922,1642,-2.68
DMLP,0.7919,1643,-2.03
ICG,0.7916,1644,4.83
ANSS,0.7915,1645,11.93
TRAW,0.7914,1646,12.23
BANX,0.7913,1647,-1.37
BULL,0.7913,1648,11.08
FERAR,0.7913,1649,13.93
ATII,0.7912,1650,14.8
MRVL,0.7912,1651,6.95
GECCO,0.7905,1652,9.12
ZOOZ,0.7905,1653,0.59
BFRI,0.7903,1654,11.31
COEPW,0.7901,1655,9.11
CPRX,0.79,1656,-0.62
PSNL,0.79,1657,5.98
PECO,0.7899,1658,12.17
PET,0.7899,1659,-4.6
MSPRW,0.7898,1660,10.49
TOMZ,0.7898,1661,3.49
BEAT,0.7897,1662,-4.18
CEPO,0.7894,1663,-1.43
HCAT,0.7892,1664,10.5
ADI,0.7887,1665,6.22
LRND,0.7887,1666,-0.99
VVPR,0.7887,1667,-1.65
GDTC,0.7885,1668,6.61
AMAT,0.7883,1669,-2.33
CSWI,0.7883,1670,-3.11
OAKU,0.7883,1671,5.36
PRTH,0.7883,1672,13.1
VGAS,0.7883,1673,10.76
KELYA,0.7882,1674,5.19
CDT,0.788,1675,-3.56
WTW,0.788,1676,11.28
GENK,0.7879,1677,8.45
UPST,0.7878,1678,8.76
AFJKU,0.7877,1679,7.35
ZCMD,0.7877,1680,10.08
ORKT,0.7876,1681,8.49
AUDC,0.7873,1682,5.15
KPDD,0.7873,1683,2.1
NRSN,0.7872,1684,-0.1
NXT,0.7872,1685,6.05
BSMV,0.7869,1686,4.23
BVS,0.7869,1687,-4.41
DORM,0.7869,1688,2.58
WAFU,0.7869,1689,-4.35
RGLD,0.7868,1690,8.59
SLRC,0.7867,1691,4.33
OPRX,0.7865,1692,10.12
FMST,0.7863,1693,4.87
QNRX,0.7859,1694,10.08
APRE,0.7857,1695,14.77
CLSD,0.7857,1696,-2.68
TRNS,0.7857,1697,10.37
